,marca,modelo,anio,carroceria,traccion,combustible,transmision,asientos,color,kilometraje,verificacion,precio
36,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
37,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
38,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
39,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
40,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
41,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
42,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
43,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
44,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
45,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
46,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
47,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
48,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
49,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
50,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
51,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
52,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
53,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
54,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
55,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
56,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
57,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
58,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
59,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
60,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
61,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
62,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
63,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
64,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
65,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
66,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
67,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
68,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
69,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
70,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
71,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
72,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
73,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
74,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
75,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
76,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
77,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
78,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
79,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
80,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
81,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
82,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
83,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
84,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
85,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
86,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
87,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
88,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
89,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
90,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
91,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
92,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
93,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
94,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
95,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
96,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
97,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
98,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
99,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
100,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
101,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
102,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
103,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
104,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
105,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
106,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
107,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
108,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
109,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
110,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
111,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
112,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
113,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
114,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
115,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
116,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
117,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
118,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
119,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
120,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
121,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
122,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
123,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
124,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
125,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
126,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
127,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
128,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
129,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
130,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
131,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
132,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
133,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
134,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
135,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
136,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
137,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
138,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
139,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
140,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
141,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
142,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
143,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
144,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
145,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
146,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
147,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
148,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
149,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
150,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
151,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
152,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
153,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
154,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
155,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
156,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
157,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
158,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
159,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
160,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
161,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
162,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
163,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
164,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
165,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
166,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
167,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
168,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
169,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
170,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
171,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
172,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
173,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
174,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
175,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
176,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
177,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
178,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
179,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
180,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
181,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
182,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
183,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
184,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
185,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
186,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
187,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
188,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
189,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
190,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
191,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
192,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
193,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
194,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
195,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
196,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
197,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
198,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
199,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
200,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
201,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
202,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
203,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
204,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
205,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
206,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
207,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
208,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
209,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
210,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
211,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
212,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
213,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
214,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
215,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
216,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
217,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
218,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
219,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
220,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
221,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
222,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
223,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
224,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
225,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
226,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
227,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
228,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
229,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
230,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
231,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
232,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
233,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
234,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
235,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
236,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
237,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
238,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
239,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
240,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
241,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
242,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
243,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
244,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
245,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
246,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
247,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
248,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
249,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
250,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
251,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
252,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
253,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
254,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
255,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
256,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
257,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
258,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
259,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
260,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
261,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
262,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
263,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
264,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
265,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
266,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
267,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
268,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
269,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
270,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
271,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
272,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
273,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
274,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
275,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
276,hyundai,accent,2016-01-01,sedan,4x2,gasolina,manual,tela,plateado,107413,,6800
277,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
278,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
279,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
280,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
281,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
